composition,wt
Zr0.00788955 Ti0.32544379 Mn0.48164044 V0.13924654 Cr0.01621364 Fe0.02956605,1.4
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,1.49
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.01002506 Co0.07017544 Ni0.32280702 Sn0.00300752,1.51
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.02005013 Co0.06015038 Ni0.32280702 Sn0.00300752,1.49
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.03007519 Co0.05012531 Ni0.32280702 Sn0.00300752,1.51
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.04010025 Co0.04010025 Ni0.32280702 Sn0.00300752,1.53
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Fe0.05012531 Co0.03007519 Ni0.32280702 Sn0.00300752,1.53
Ti0.33333333 Mn0.45045045 Nb0.02252252 V0.19369369,1.26
Ti0.33333333 Mn0.45045045 Nb0.04054054 V0.17567568,1.55
Zr0.20895522 Ti0.12437811 Mn0.02606516 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.44010025,1.0
Zr0.20895522 Ti0.12437811 Mn0.05614035 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.41002506,1.31
Zr0.20895522 Ti0.12437811 Mn0.08621554 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.37994987,1.41
Zr0.20895522 Ti0.12437811 Mn0.11629073 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.34987469,1.58
Zr0.20895522 Ti0.12437811 Mn0.14636591 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.3197995,1.57
Zr0.20895522 Ti0.12437811 Mn0.1764411 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.28972431,1.58
Zr0.20895522 Ti0.12437811 Mn0.20651629 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.25964912,1.57
Zr0.20895522 Ti0.12437811 Mn0.23659148 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.22957393,1.58
Zr0.33333333 V0.22222222 Cr0.44444444,1.18
Zr0.33333333 V0.50980393 Cr0.15686274,1.14
Zr0.33333333 V0.2 Cr0.46666667,1.26
Zr0.33333333 V0.26666667 Cr0.4,1.46
Zr0.33333333 V0.66666667,1.24
Zr0.33333333 V0.66666667,1.28
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,1.49
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.01002506 Ni0.31278195 Sn0.00300752,1.45
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.02005013 Ni0.30275689 Sn0.00300752,1.42
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.03007519 Ni0.29273183 Sn0.00300752,1.31
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Si0.04010025 Ni0.28270677 Sn0.00300752,1.27
